Name,Width,Height,Depth,Artist,Country,Price,Category
JTA0008-006,91.4,61,0.3,Jonathan Thomas Armstrong,United States,"$3,500",Digitals
9t-Van Gogh.,40,60,0.1,CARMEN LUNA,Spain,$490,Digitals
Just Chill,50.8,40.6,1.3,Boo Deity,United States,$485,Digitals
Filly N.8,101,135,0.1,Erkan Cerit,Turkey,$700,Digitals
Friends Forever,130,87,0.1,Beerman Art,Spain,"$1,140",Digitals
Metallic Canvas with Floating Frame | Pattern No. 38,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Girl with a Pearl Earring through 3D Glasses,60,69.2,0.1,Mario Ubaldino,Italy,$920,Digitals
Celebrating India_Green,61,76.2,0.3,Aatmica Ojha,United States,$530,Digitals
Crypto McQueen 06_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Terrain in White X,134.6,76.2,0.1,Amna Tariq,Pakistan,$590,Digitals
Emotion,45,62,0.2,Tea Mikadze,United States,"$2,670",Digitals
My Colorful Africa #7,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Ephemeral Blue (Horizon),68.6,35.6,0.3,Mechelle Rene,United States,$164,Digitals
ABSTRACT ART FACE FRAMED #036,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Metallic Canvas with Floating Frame | Pattern No. 67,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Homeland I,96,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
"Zones Urbaines, Berlin - (Inkjet Print)",121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
Circular 01,80,80,0.6,Antonio Angelo Lori,Italy,"$1,360",Digitals
Procesing No.6,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Picasso's portraiture,101.6,106.7,2.5,Arthur Rodrigues,United States,"$3,010",Digitals
abstract landscape 02,80,30,2,Adriana Ricciardi,Brazil,$270,Digitals
Condo meets Picasso,16,22,1,Jeffie Magina,Kenya,$170,Digitals
Caricature from photo,20,30,0.1,Kirk Kirchev,United Kingdom,$160,Digitals
VIEW OF A NATURAL LANDSCAPE,100,100,3,Norman ritchie,Chile,"$1,120",Digitals
Dipavali decoration,68.6,68.6,0.3,Devine Arts,India,"$1,699",Digitals
"PISCES ""ZODIAC"", Women Goddess Of Nature",40.6,50.8,5.1,AUGUSTO SANCHEZ,United States,$465,Digitals
Under Construction - Limited Edition Giclee Print,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$279,Digitals
Atomic,44,60,0.1,Petra Brnardic,Croatia,"$3,570",Digitals
Cherry Knot Nymph,50,60,0.1,Petra Brnardic,Croatia,"$3,260",Digitals
Pixel cat #4,12.7,12.7,12.7,Kayleb B,,$140,Digitals
Marathon,72,40,1,Claudio Dell'Osa,Italy,$610,Digitals
Confusion and Clarity,25.4,25.4,1.8,David Mew,United States,$495,Digitals
Coves LSD,70,50,2,Jaume Serra Cantallops,Spain,"$1,140",Digitals
Red noise VII,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
Nippon Canvas,80,80,2,Paolo Ferraina,Italy,$960,Digitals
Endless emotions,30,34.4,1,João Luiz Belo de Moraes,Brazil,$220,Digitals
muva for tokyo,80,45,0.1,Teodora Bisenic,Serbia,"$1,020",Digitals
The Lady of the Lake 1,60,40,1,Norman Clark,France,$175,Digitals
Painting 12 x 12 5,101.6,101.6,2.5,Howard Spector,United States,"$2,170",Digitals
Metallic Canvas with Floating Frame | Pattern No. 38,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Sunset State of Mind,116,82,0.3,Alison Powell,United Kingdom,"$2,323",Digitals
Martyr Marine,53,80,1,Petra Brnardic,Croatia,"$3,770",Digitals
Drunken Playmate,43,60,0.1,Petra Brnardic,Croatia,"$2,970",Digitals
1041antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
7.08.2010,40,30,0,isa levy,United Kingdom,$160,Digitals
Vernacular reality,50,50,0.1,Zein Soliman,,$940,Digitals
ABSTRACT Nº 60,300,100,5,ANTONIO PICO,,"$6,550",Digitals
Red noise III,21,29.4,0.1,Christian Fromhein,Germany,$401,Digitals
Athena,66,66,1,Kin Karol Fetalver,Philippines,$820,Digitals
Progress,50.8,50.8,0.3,Andres Wiest,United States,$880,Digitals
LIGHTHOUSE,40,60,0.1,Leonardo Lima,,$320,Digitals
Homeland II,96,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
Traffic I,71.1,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
La Mer I,65,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
Elegant Geometries Typical - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent#583 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Levantine (Scheherazade),120.2,150,0.2,Petra Brnardic,Croatia,"$3,670",Digitals
Pleasure Dome,69,90,1,Petra Brnardic,Croatia,"$3,820",Digitals
1017antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$19,000",Digitals
NOWA.I.PAINT_2022_B12_06,60,100,0.1,Tibor Andriska,Hungary,$580,Digitals
Gale,64,50,1,Claudio Dell'Osa,Italy,$610,Digitals
Procesing No.17,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Center of Gravity,40.6,50.8,2.5,Tobe Roberts,United States,$880,Digitals
Halftone,66,101.6,0.3,Dan Cristian Lavric,Romania,"$3,270",Digitals
Goddess,76.2,152.4,2.5,kaelyn Rene,,"$20,750",Digitals
interior space,127,74,1,Norman ritchie,Chile,"$1,510",Digitals
Expressionist 15 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
The Universe 31,56,37,0.1,Pia Bandit,Sweden,$200,Digitals
Blurry #18,70,70,0.1,Eric Brocherie,France,"$1,380",Digitals
Cat Louis,92,116,3,Urban Tag,France,"$2,760",Digitals
She Character 03,11480.8,11430,254,Shedesignstudio Graphic design studio,,"$15,000",Digitals
Metallic Canvas with Floating Frame | Pattern No. 38,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Controls Over Creation - Limited Edition of 1,38.1,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Retails III - Infogravure 1/30(Signed and Numbered by Hand),55,75,5,Juca Máximo,Brazil,$840,Digitals
Diva,52,60,0.1,Petra Brnardic,Croatia,"$3,370",Digitals
Perspective,68.6,68.6,1,Kin Karol Fetalver,Philippines,$820,Digitals
Waterfall,25.4,38.1,0.2,Dara M Wilson,United States,$262,Digitals
Rainbow Mountains (Foam-Backed Giclee Print),25.4,38.1,0.2,Dara M Wilson,United States,$265,Digitals
Amy Winehouse Art - I LOVE MY DAD,40,40,0.1,Sheena Lennox,United Kingdom,$990,Digitals
Young politicians are my brothers,170,113,0.3,BONGUK LEE,South Korea,"$5,850",Digitals
S.BS.001 – 2022,24,24,0,yunus emre sarı,Turkey,$240,Digitals
"Gaia, No. 7",33,48.3,0.3,Norm Yip,Canada,"$1,000",Digitals
Waterfall Reflections - Modern Abstract,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$279,Digitals
Horse,91.4,61,5.1,Rinto Francis,India,$220,Digitals
Vincent#866 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
VG (Vincent #1398) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Columns,40.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Wuthering Heights,52,60,1,Petra Brnardic,Croatia,"$3,280",Digitals
The Legend of Mordred,60,40,1,Norman Clark,France,$175,Digitals
Who Amongst Us?!,76.2,61,1.9,Bill Zielinski,United States,"$1,255",Digitals
"Gaia, No. 6",33,48.3,0.3,Norm Yip,Canada,"$1,000",Digitals
7.11.63,100,100,1,Elis RIMEL,,"$1,140",Digitals
Fairy’s Wedding,61,91.4,0.3,Aatmica Ojha,United States,$524,Digitals
Greta,45,60,1,Petra Brnardic,Croatia,"$3,370",Digitals
Heart Shaped Box,45,60,0.1,Petra Brnardic,Croatia,"$3,160",Digitals
First Kiss,61,94.4,20,Tomiwa Adelagun,Nigeria,$710,Digitals
FORCED LIGHT 1,60,60,0.1,Paul Harrison,,$975,Digitals
EGO,40,50,1,Sheena Lennox,United Kingdom,$660,Digitals
This is life 02,100,100,1,Silvia Viana,Spain,"$1,710",Digitals
GT -The gift of time,50,70,2,Claudiu Mladin,United Kingdom,"$1,765",Digitals
The Lady of the Lake 2,40,40,1,Norman Clark,France,$155,Digitals
Ucross Grid 1,91.4,45.7,2.5,Howard Spector,United States,$930,Digitals
Columnar Processes - Limited Edition of 1,53.3,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
War,54.6,44,4,Wowser Ng,United Kingdom,$610,Digitals
Brix II,21,21,0.3,Christian Fromhein,Germany,$719,Digitals
Antologico Madonna,50,70,2,Paolo Ferraina,Italy,"$3,520",Digitals
Mill,15.2,15.2,0,Ziyi Xno,,"$8,210",Digitals
portrait of a facade,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
Lamees Lovebirds LLB6,39.6,62.2,0.3,Lamees Alhassar,Bahrain,$580,Digitals
Humanimal Anatomy no.5,63,95,0.1,Prapat Jiwarangsan,Thailand,$690,Digitals
Portrait of a beautiful woman in bleu and orange,65,90,0.6,Hella Maas,Netherlands,"$1,310",Digitals
Don't Drink And Lie,90,90,0.1,Mario Ubaldino,Italy,$810,Digitals
Ferrari Empire,116.3,80,0.1,Mario Ubaldino,Italy,$802,Digitals
Vincent #41 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Abstract Inmagination,50,70,0.1,René van den Berg,Netherlands,$495,Digitals
“io sono nessuno! chi sei tu?”,100,80,0.2,Marco Mattiuzzi,Italy,$940,Digitals
Red Rings - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
1022antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$16,000",Digitals
Creep,40.6,40.6,0.3,Robert Meganck,United States,$150,Digitals
I need a cigarette,50,70,2,Jaume Serra Cantallops,Spain,$495,Digitals
JR93-Abstract-geometric-4285,60,60,0.1,Norka Ocopio,Spain,"$1,062",Digitals
Creation,45.7,30.5,3.8,Blair Supplee,United States,$190,Digitals
Roof,60,80,5,ELV H,Netherlands,$640,Digitals
"Griet, Jan and the Light",95,39.9,0.3,Klaus Rudolph,Germany,$940,Digitals
Windows of Hope - Limited Edition of 10,91.4,91.4,0.3,Saqib Akhtar,Pakistan,$545,Digitals
1009antique art collection,127,177.8,2.5,Antique Art Collection,Denmark,"$26,000",Digitals
Pastel,66,101.6,0.3,Dan Cristian Lavric,Romania,"$3,270",Digitals
untitled 9,70,100,2,Rym Magdi,,$500,Digitals
my dark dependency,100,70,0.1,Giulio Iurissevich,Italy,"$2,010",Digitals
paramount aspects,100,100,1,Norman ritchie,Chile,"$1,410",Digitals
Lamees Lovebirds LLB7,39.6,62.2,0.3,Lamees Alhassar,Bahrain,$580,Digitals
Gallop,51,51,1,Bela Balog,Hungary,"$1,660",Digitals
Metallic Canvas with Floating Frame | Pattern No. 12,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
EARTH INVASION,100,75,2,Mr STRANGE Jean-Marie GITARD,France,$400,Digitals
Technological Values - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The drop 6,50,50,0.1,René van den Berg,Netherlands,$300,Digitals
The house of Mary Shelley,22.3,39,0.1,Nikolay Devnenski,Germany,$190,Digitals
Mok IV,29.4,21,0.1,Christian Fromhein,Germany,$480,Digitals
Murder by Screwdriver,50,70,2,Jaume Serra Cantallops,Spain,$510,Digitals
Viridis Occasum,76.2,101.6,0.3,Jason Yun,United States,$599,Digitals
Another civilization's afterlife #80105,100,100,0.1,Richard Vachtenberg,Lithuania,"$2,210",Digitals
Nevermind,40,40,0.1,Dex X,United Kingdom,$205,Digitals
Girls1,40,30,1,Tatiana Trippett,United Kingdom,$940,Digitals
goddess 30,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
Crystal,70,100,0.1,Giulio Iurissevich,Italy,"$1,698",Digitals
JR93-Abstract-geometric-4314,60,60,0.1,Norka Ocopio,Spain,"$1,062",Digitals
Lamees Lovebirds LLB 3,39.6,62.2,0.3,Lamees Alhassar,Bahrain,$580,Digitals
Close Up,100,100,1,Stephanie Derks,Netherlands,"$2,210",Digitals
Procesing No.26,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Crypto McQueen 08_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Rys IV,21,29.4,0.1,Christian Fromhein,Germany,$271,Digitals
Colorful Rays,30.5,30.5,0.3,Jerlyn O'Donnell,United States,$135,Digitals
Three children with Hoops,240,120,15,Jean-Philippe Deugnier,France,"$11,250",Digitals
No.4353 JR93-Geometric abstract-4353,60,60,0.1,Norka Ocopio,Spain,"$1,062",Digitals
Queen of the queen,100,100,3,Paslier Morgan,France,"$1,085",Digitals
Starry Night (August 2022),29.7,42,0.2,Hristo Yordanov,United Kingdom,$260,Digitals
"Odesa, Serie Ucrania",106.7,76.2,0.3,Antonio López,Spain,"$8,910",Digitals
Japanese Girl with turquoise kimono,42,59.4,0.1,Reimund Konrad,Germany,$480,Digitals
Nature’s Way,76.2,50.8,0.3,Elite Art,Australia,$990,Digitals
Van Gogh Seven - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
To Reach - Limited Edition of 1,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
1032antique art collection,121.9,152.4,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
Firewoman,53.7,60,2,Isabella Thermes,Germany,$410,Digitals
Name 3,50.8,50.8,1.9,Terrell Iverson,United States,"$3,333",Digitals
Crystal,76.2,76.2,2.5,Oscar Gml,Mexico,"$1,140",Digitals
Buffalo Traditional Dancer,91.4,61,0.3,Del Gonzales,,"$2,170",Digitals
untitled 10,70,100,2,Rym Magdi,,$500,Digitals
Voyager,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
La mort donne la vie,70,104,0.1,Matthieu Ravet,France,$840,Digitals
Earthy Strokes_Black and White Series_Peach & Black,50.8,91.4,0.3,Aatmica Ojha,United States,$444,Digitals
Dynamic Dimensions,127,101.6,2.8,David Mew,United States,"$3,960",Digitals
Circle No.84,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Levant Cityscape #2,91.4,121.9,0.3,Nedaa Elias,United Arab Emirates,"$2,010",Digitals
S.BA.002,24,24,0.1,yunus emre sarı,Turkey,$240,Digitals
Geometric composition,69,86,0.2,Lidiya Dmitrieva,Israel,$750,Digitals
VG (Vincent #2423) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Emerging Patterns - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Cleopatra,60,80,1,Petra Brnardic,Croatia,"$3,270",Digitals
Candels1.2,76.2,76.2,10.2,dan sheldon,United States,$230,Digitals
testimonies of a truth,100,100,1,Norman ritchie,Chile,"$1,410",Digitals
ABSTRACT ART SKULL FRAMED #013,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
(): Lemon,20,20,0.3,JUN D,United Kingdom,$160,Digitals
With the disappearing family_60,157,128,0.3,BONGUK LEE,South Korea,"$4,270",Digitals
La Parisienne,84,116,3,Urban Tag,France,"$2,560",Digitals
Create - Limited Edition of 5,40,50,0.1,Sheena Lennox,United Kingdom,$660,Digitals
Lupa,90,60,0.1,Tobias Ginski,,$990,Digitals
1066antique art collection5,91.4,121.9,2.5,Antique Art Collection,Denmark,"$7,550",Digitals
present and past,70,100,1,Norman ritchie,Chile,"$1,610",Digitals
Butterfly and Sigil,17.8,20.3,0.6,Duc Ly,United States,$235,Digitals
Elena,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Roxana,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Irina,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Iulia,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
IV Elements IV Spheres,152.4,152.4,1.3,Duc Ly,United States,$215,Digitals
The treasure,40.6,50.8,5.1,Emmanuel Maxwell Chinoye,Nigeria,$690,Digitals
Fractal Art - generative code based Artwork Artwork,70,90,0.1,Martin Slotta,Germany,"$1,140",Digitals
Alina,50,50,0.1,Alin Amariei,Romania,"$1,065",Digitals
Adelina,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Lavinia,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Bianca,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Alexandra,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Nina,60,60,0.1,Tobias Ginski,,$990,Digitals
Amalia,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Circle and Symbol,30.5,33,1.3,Duc Ly,United States,$235,Digitals
Scan me!,26.3,39,0.1,Nikolay Devnenski,Germany,$190,Digitals
Broken,40.6,61,0.3,Martin Fry,United Kingdom,$935,Digitals
Deep Forest Olympic National Park BW Private Collection 13,127,101.6,2.5,Doreen McGunagle,United States,"$3,510",Digitals
Fractal Art - generative code based Artwork Artwork,70,90,0.1,Martin Slotta,Germany,$810,Digitals
Andreea,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Adina,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Maria,50,50,0.5,Alin Amariei,Romania,"$1,065",Digitals
Fractal Art - generative code based Artwork,70,90,0.1,Martin Slotta,Germany,$810,Digitals
REWIND,91.4,55.9,1.3,Michael D'Angelo,Canada,"$2,010",Digitals
Beginning of The End,59,84,0.1,Jermaine Daniel,,$210,Digitals
Sowing Still 6,50.8,50.8,0.1,Aimee Timpson,Australia,$217,Digitals
"Ucrania, Jerson",106.7,76.2,0.3,Antonio López,Spain,"$6,550",Digitals
Europe Grid 7,182.9,61,2.5,Howard Spector,United States,"$2,670",Digitals
Stone,29,22,2,Helge Steinmann BOMBER,Germany,"$4,020",Digitals
Earthy Strokes_Colorful Series_Painting 1,50.8,91.4,0.3,Aatmica Ojha,United States,$460,Digitals
Portrait of dancer,68.6,68.6,0.3,Devine Arts,India,"$5,066",Digitals
JTA0001-023,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
The Messenger- Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
VG (Vincent #2406) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Trees in Orange - Limited Edition of 1,91.4,91.4,0.3,Saqib Akhtar,Pakistan,$545,Digitals
Azera,60,60,0.1,Tobias Ginski,,$990,Digitals
The reality of Bluesman,100,100,1,João Luiz Belo de Moraes,Brazil,$330,Digitals
Lucid Dreamscapes - King Arthur and the Round Table,40,40,1,Norman Clark,France,$175,Digitals
DaVinci Princess,50.8,50.8,0.3,Jacob Wilson,,$930,Digitals
Erotica,60,90,0.1,Constantinos Daldakis,Greece,"$1,140",Digitals
America Beauty 22,35.6,21.6,0.3,Edward Supranowicz,United States,$340,Digitals
Sunset,91.4,61,0.3,Kiran Mudholkar,,"$1,260",Digitals
Iconics Brigitte Bardot,50,70,0.1,René van den Berg,Netherlands,$475,Digitals
The Drop 3,50,50,1.1,René van den Berg,Netherlands,$300,Digitals
Vegetable coup. Eggplants. Pattern One.,40.1,40.1,0.5,Yulia Andreeva,Bulgaria,$190,Digitals
Circular 03,80,80,0.6,Antonio Angelo Lori,Italy,"$1,260",Digitals
Unconsciously,80,60,1,Jovana Braletić,Serbia,$190,Digitals
"Funny, cute Dog Japanese samurai pet portrait by AI & me",186,202,1,Dmitri Matkovsky,Canada,"$1,159",Digitals
God's Eyes 002.,102.4,118.9,0.3,Kenneth Boa-Amponsem,Ghana,$307,Digitals
Maya the African Angel,30,30,1,Jeffie Magina,Kenya,$370,Digitals
Black forest,21,28,0.2,Vladlena Tsypurkina,Spain,$200,Digitals
La Mer IV,63.4,40,0.3,Klaus Rudolph,Germany,$740,Digitals
Entracte,35,42,3,Debora Barnaba,Italy,$760,Digitals
Binary # 1 - Black and White Minimalist - Print,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$246,Digitals
Europe Grid 9,182.9,61,2.5,Howard Spector,United States,"$2,670",Digitals
Abstract in Yellow Blue,30.5,30.5,1.3,Marc VanDermeer,United States,$185,Digitals
Flight,45,61,0.1,Tobias Ginski,,$990,Digitals
The Human Catastrophe,60,60,5,Irina Raicu,Romania,"$1,260",Digitals
06-Aug-45,80,60,0.1,ageliki baka,Greece,$170,Digitals
Peddles the Bible to Peddle Good Drug (Version no 3),91.8,90,0.1,Mario Ubaldino,Italy,$950,Digitals
Variables and Methods - Limited Edition of 1,50.8,63.5,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Binded By Distress - Limited Edition of 2,142.2,177.8,0.3,Donald Okudu,Nigeria,"$13,000",Digitals
Welcome to my family,26.2,39,0.1,Nikolay Devnenski,Germany,$190,Digitals
UKILLANDO 2017/11 - Limited Edition 1 of 3,140,100,0.2,Hernan Paravic,Chile,"$1,760",Digitals
Vertigo 2,53,80,0.1,Petra Brnardic,Croatia,"$3,470",Digitals
Cherry Blossom Love,43,60,0.1,Petra Brnardic,Croatia,"$2,970",Digitals
Entracte,32,45,3,Debora Barnaba,Italy,$760,Digitals
Freedom,60,60,0.1,Josh Adamski,Israel,"$2,350",Digitals
Machine - Limited Edition Fine Art Giclee Print,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$279,Digitals
Umano - Essence Collection,90,101.1,0.1,Mario Ubaldino,Italy,$810,Digitals
Metallic Canvas with Floating Frame | Pattern No. 12,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
The Tiger,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$289,Digitals
Process Modeling - Limited Edition of 1,48.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Dolorosa,80,120,0.1,Petra Brnardic,Croatia,"$3,540",Digitals
Blooming,60,80,1,Petra Brnardic,Croatia,"$3,770",Digitals
Six Pointed Star,76.2,66,1.3,Duc Ly,United States,$140,Digitals
Black Swan,39.7,44.7,2,Isabella Thermes,Germany,$380,Digitals
Self Portrait,40.6,47.6,6.3,Lavinia Wanjau,,"$1,430",Digitals
Unconsciously,80,60,1,Jovana Braletić,Serbia,$280,Digitals
11.10.2010,40,30,0,isa levy,United Kingdom,$160,Digitals
64963166,100,100,0.2,Stephen Griffin,Australia,"$3,300",Digitals
Procesing No.16,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Brix I,21,21,0.3,Christian Fromhein,Germany,$719,Digitals
Girls2,40,30,1,Tatiana Trippett,United Kingdom,$940,Digitals
LOS ANGELES BUS TOKENS,91.4,121.9,0.2,Luciano Guerra,United States,"$5,350",Digitals
SuperNova (00003),63.5,63.5,0.3,Rozita Fogelman,United States,$295,Digitals
JTA0006-015,91.4,61,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
ON/OFF series: Listen,72.4,40.6,3,Vincent Y,Hong Kong,"$2,210",Digitals
S.FRZ.004,24,24,0,yunus emre sarı,Turkey,$240,Digitals
york,116,76,1,Norman ritchie,Chile,"$1,360",Digitals
Ballerina,152,101,0.1,Erkan Cerit,Turkey,$995,Digitals
Moonlight,90,60,0.1,Christian Bruni,Italy,$580,Digitals
Goddess Of Rebirth/PM,63.5,63.5,0.3,James Mackey,United States,$165,Digitals
‘Housewarming’,61,91.4,0.3,Aatmica Ojha,United States,$547,Digitals
1031antique art collection,121.9,152.4,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
Glad that's out,40.6,61,0.3,Martin Fry,United Kingdom,$935,Digitals
Finding Fish,60,45,0.4,Atul Chauhan,,"$2,710",Digitals
Enhanced checkerboard I,21,29.4,0.1,Christian Fromhein,Germany,$231,Digitals
Getting wet,30,40,1,Tony Roberts,United Kingdom,$185,Digitals
Male body,40,35,1,Jovana Braletić,Serbia,$290,Digitals
FORCED LIGHT 4,60,60,0.1,Paul Harrison,,$975,Digitals
Sunrise 01,15.7,23.6,0.7,Ringga Barta,Indonesia,$810,Digitals
Peace of mind,100,150,150,Nabila Leguizamon,,$360,Digitals
Agreeable,76.2,43.2,0.3,Tariq Ahmed,,"$3,300",Digitals
Sem título (Fingindo felicidade),80,100,3,Andrey Koens,Brazil,"$1,500",Digitals
Portrait XXVI. Hand Embellished Giclée Print on Canvas.,100,100,2.5,Retne Art,Lithuania,$929,Digitals
Good Night,61,81.3,0.3,Color out of Place,Canada,"$1,630",Digitals
"Ucrania, Mikolaiv",106.7,76.2,0.3,Antonio López,Spain,"$5,449",Digitals
Koan #4,70,50,0.1,Yancho Sabev,Belgium,$580,Digitals
Ablegbi,50.8,38.1,2.5,MICHAEL KOFI ADZAH,Ghana,$804,Digitals
City Life,76.2,50.8,0.3,Elite Art,Australia,"$1,010",Digitals
Celebrating India_Saffron !,61,76.2,0.3,Aatmica Ojha,United States,$530,Digitals
Angels Touch,101.6,152.4,3.8,Irina Gretchanaia,Canada,"$1,380",Digitals
6.09.2010,40,30,0,isa levy,United Kingdom,$160,Digitals
Barry In A Paper Bag,70,50,0.2,Jaume Serra Cantallops,Spain,$510,Digitals
The Universe 41,40,49,0.1,Pia Bandit,Sweden,$200,Digitals
The Green Knight,40,40,1,Norman Clark,France,$419,Digitals
ABSTRACT ART SKULL FRAMED #011,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
At Dave's,50,50,0.1,Mr STRANGE Jean-Marie GITARD,France,$340,Digitals
“Racconti Gotici/Gothic Tales” (#6): Danza Macabra/Dance Macabre,80,80,0.2,Marco Mattiuzzi,Italy,"$1,360",Digitals
life is colorful outside,3810,3048,5.1,Sunil Raut,,"$5,910",Digitals
Vincent #230 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Rune 5 - Venus (Others Types of Colors),254,254,5.1,Daniel Benavides,Colombia,"$1,210",Digitals
my sketch unique fish,90,55,0.2,Inessa Smirnova   -    Inna Arm,Greece,"$1,140",Digitals
Mago Picasso,81.3,81.3,2.5,Arthur Rodrigues,United States,"$3,210",Digitals
Blue noise IV,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
Painting with flowers,80,90,0.1,Mariano Seib,Argentina,$510,Digitals
The Only Queen - Lady Diana (Melange Version no1),94.7,90,0.1,Mario Ubaldino,Italy,$940,Digitals
Geisha,40,40,0.5,Sheena Lennox,United Kingdom,$830,Digitals
Expressionist 12 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
abstract landscape,80,30,2,Adriana Ricciardi,Brazil,$270,Digitals
Fakarava,60,91,3,Caroline Alexandre,,$920,Digitals
strom and night,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
floreali,50,50,5,Daniele Chiari,Italy,$790,Digitals
Background Two,53,18,2,Helge Steinmann BOMBER,Germany,"$5,200",Digitals
Display,61,45.7,3.8,Natalia's World,United States,"$1,055",Digitals
This is not a geometric work,90,90,0.1,Mario Ubaldino,Italy,$940,Digitals
"The Other Avatars NFT Art, Skull of a Skeleton, Vincent #737",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Seppuku,43,60,0.1,Petra Brnardic,Croatia,"$3,050",Digitals
Sorceress,59,80,0.1,Petra Brnardic,Croatia,"$3,700",Digitals
