Name,Width,Height,Depth,Artist,Country,Price,Category
Vincent #377 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances LIX,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Relax Kitty Style,37,27.5,0.1,Soo Beng Lim,Australia,$590,Digitals
Write your Story X - 1/30(Signed and Numbered by Hand),100,75,4,Juca Máximo,Brazil,$840,Digitals
Scent of Austin 09092022P,53.3,76.2,0.3,Ziesook You,United States,$695,Digitals
Desired Product,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #1082 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances XIX - Limited Edition of 7,90,90,4,Carla Sa Fernandes,Portugal,$610,Digitals
Abstraction#30,50,70,1,Igor Vitomirov,Sweden,"$1,660",Digitals
Vincent van Gogh 9,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Nuances VI,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Shades of Azul 103,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
"Each Pixel, Each Line - Limited Edition of 1",50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
What to Do If You Win the Lottery,49,33,0.2,Luka Tripkovic,Serbia,$920,Digitals
The Skull in Lisbon (Vincent #735),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Regular Systems,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Other Avatars Vincent #943,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
The Other Avatars  Vincent #1227,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Nuances II,90,90,4,Carla Sa Fernandes,Portugal,$600,Digitals
Drawing Actions - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$690,Digitals
Summer,40,50,1,Jb Ols,France,"$1,630",Digitals
Rules-based Systems,50.8,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
bloom 2 - Limited Edition of 10,70,100,0.1,Martina Niederhauser-Landtwing,Switzerland,$900,Digitals
The OtherAvatars Vincent #689,30,30,2,Karenina Fabrizzi,Spain,$370,Digitals
The Skull and the Sun (Vincent #2196),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances XLIII,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
Write V - Infogravure 2/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
Nuances XXVIII,121.9,152.5,4,Carla Sa Fernandes,Portugal,"$1,250",Digitals
Shades of Azul 138,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Sophisticated Form - Limited Edition of 1,53.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent in the sky with diamonds - Limited Edition of 1,59.9,59.9,2.5,de Miramon alice,France,$500,Digitals
The Waves within The Waves #2,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
NUAGES,100.1,130,4.1,Anne Gracia,France,"$1,810",Digitals
quantum_random,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Technical Language,53.3,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Booster Randomness System,71.1,55.9,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Parched earth I -,39.9,42.4,0.5,Anne Gracia,France,"$1,610",Digitals
Nuances XLIV,120,120,4,Carla Sa Fernandes,Portugal,"$1,730",Digitals
Write V - Infogravure 1/30(Signed and Numbered by Hand),150,100,4,Juca Máximo,Brazil,"$1,770",Digitals
Vincent van Gogh 5,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
The Other Avatars Vincent #1032,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Harnessing_Modern_Process,50.8,63.5,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances XX - Limited Edition of 3,100,100,4,Carla Sa Fernandes,Portugal,$750,Digitals
Broken Dreams,48,60,0.1,Petra Brnardic,Croatia,"$3,260",Digitals
Nuances LVII,90,90,4,Carla Sa Fernandes,Portugal,$660,Digitals
Vincent #2262 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances LI,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
Nuances XI,60,60,4,Carla Sa Fernandes,Portugal,$500,Digitals
The Skull at the Beach (Vincent 1423),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances XXI - Limited Edition of 7,80,80,4,Carla Sa Fernandes,Portugal,$550,Digitals
The Skull with the Chewing Gum (Vincent #335),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
"Vincent,  in Prada",50,50,0.3,Manuela Karin Knaut,Germany,$940,Digitals
Scent of Austin 09172022E,61,61,0.3,Ziesook You,United States,$655,Digitals
Nuances XLIX,120,90,4,Carla Sa Fernandes,Portugal,"$1,300",Digitals
L'EXPLORATRICE,60,80,2,Mr STRANGE Jean-Marie GITARD,France,$560,Digitals
Extension of Experiments,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
"Lost in Paradise, decide !",43,63,0.1,Patrick Santoni,France,$600,Digitals
Shape and Emotion 04,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
ORIGINAL EARTH I,83.1,91.9,4.1,Anne Gracia,France,"$1,810",Digitals
Nuances XXXVII,200,125,4,Carla Sa Fernandes,Portugal,"$3,000",Digitals
Nuances XXXVIII,100,100,4,Carla Sa Fernandes,Portugal,"$1,320",Digitals
Nuances LIII,200,125,4,Carla Sa Fernandes,Portugal,"$1,675",Digitals
The Skull in Pop Garden (Vincent #1471),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Ecognition of Voices - Limited Edition of 1,58.4,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Other Avatars NFT Vincent #1251,40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
The Skull and the Stripes (Vincent #1731),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
The Other Avatars Vincent #613,30,30,2,Karenina Fabrizzi,Spain,$370,Digitals
Beauté du XVIIIe siècle 3,132.1,147.3,2.5,Agent X,Canada,"$3,560",Digitals
(Kate) Haute Couture 1,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
The Other Avatars Vincent #1255,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
(Bowie) Wishful Mysteries,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
Visual Fabric - Limited Edition of 1,58.4,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Wind In My Sails,50.8,50.8,782.3,Felix Burgos,United States,$600,Digitals
ULTRAMARINE II,104.9,150.1,5.1,Anne Gracia,France,"$3,450",Digitals
Van Go Pop 9 - Limited Edition of 10 Print,88.9,88.9,2.5,Agent X,Canada,"$1,110",Digitals
Nuances LX,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Invaluable Tools,50.8,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
"Needs, Seeks and Presents",50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances LVI,100,100,4,Carla Sa Fernandes,Portugal,"$1,250",Digitals
Berry Fudge,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
Nuances VIII,60,60,4,Carla Sa Fernandes,Portugal,$500,Digitals
Expanding Deftly,53.3,63.5,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Skull and the Whale (Vincent #1900),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
JAPANESE DREAM,315,261.6,7.6,Anne Gracia,France,"$3,300",Digitals
Vincent van Gogh 6,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Melt into you - Limited Edition of 3,121.9,152.4,0.3,Donald Okudu,Nigeria,"$5,450",Digitals
The Waves within The Waves #4,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Shades of Azul 323,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Vincent #2380 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Shape and Emotion 08,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Vincent goes Pop VII - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Shades of Azul 605,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Vincent goes Pop XIII - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Hyacinth - Limited Edition of 5,63.5,63.5,1,Steve Kalinda,United Kingdom,$810,Digitals
Beauté du XVIIIe siècle 6,147.3,165.1,2.5,Agent X,Canada,"$4,650",Digitals
Quarantena No 214,59.4,84.1,1,Steve Kalinda,United Kingdom,$710,Digitals
Arboresence II,119.9,168.9,7.1,Anne Gracia,France,"$2,460",Digitals
Smoking Hot Marilyn,61,50.8,1.3,Boo Deity,United States,$980,Digitals
SEA OF INK I,57.9,42.9,3,Anne Gracia,France,"$1,230",Digitals
Shades of Azul 342,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Bird Woman - Infogravure 1/30(Signed and Numbered by Hand),75,100,5,Juca Máximo,Brazil,$840,Digitals
VG (Vincent #851) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Vincent goes Pop XIV - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Write 2 - Infogravure 2/30(Signed and Numbered by Hand),75,100,2,Juca Máximo,Brazil,$840,Digitals
Citrus Paradisi Fudge - Limited Edition of 5,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
The lucid dream No.3,33.3,50,0.1,Ernesto Navarro,Colombia,"$1,000",Digitals
The Other Avatars #304,50,50,1,Karenina Fabrizzi,Spain,$860,Digitals
